Rank,Mountain,Height.m,Height.Ft,Prominence.m,Range.1,Range.2,Latitude,Longitude,Parent,First.Ascent,Ascents,Country.With
45,40,Gangkhar Puensum,7.57,24.836,2.995,Kula Kangri,Himalaya,28.04722,90.45528,Kangchenjunga,unclimbed,0 (3),Bhutan; China
46,41,Gongga Shan,7.556,24.79,3.642,Daxue Mountains,Hengduan Shan,29.59528,101.87972,Mount Everest,1932,6 (7),China
47,42,Annapurna III,7.555,24.787,703,Annapurna,Himalaya,28.585,83.99,Annapurna I,1961,10 (17),Nepal
48,43,Skyang Kangri,7.545,24.754,1.085,Baltoro,Karakoram,35.92639,76.5675,K2,1976,1 (2),Pakistan; [dp 1]; China; [dp 2]
49,44,Changtse,7.543,24.747,514,Mahalangur,Himalaya,28.02472,86.91417,Mount Everest,1982,9 (9),China
50,45,Kula Kangri,7.538,24.731,1.654,Kula Kangri,Himalaya,28.22694,90.61639,Gangkhar Puensum,1986,3 (2),China; Bhutan; [dp 4]
51,46,Kongur Tiube,7.53,24.705,840,Kongur Shan,Pamirs,38.61583,75.19583,Kongur Tagh,1956,2 (3),China
52,47,Mamostong Kangri,7.516,24.659,1.803,Rimo,Karakoram,35.14194,77.5775,Gasherbrum I,1984,5 (0),India
53,48,Saser Kangri,7.513,24.649,1.458,Saser,Karakoram,34.80472,77.80667,Saser Kangri I,2011,0 (0)[12],India
54,49,Muztagh Ata,7.509,24.636,2.698,Muztagata,Pamirs,38.27583,75.11611,Kongur Tagh,1956,Many,China
55,50,Ismoil Somoni Peak,7.495,24.59,3.402,Pamir,Academy of Sciences Range,38.94306,72.01583,Muztagh Ata,1933,,Tajikistan
56,51,Saser Kangri,7.495,24.59,835,Saser,Karakoram,34.84556,77.785,Saser Kangri I,1986,1 (0),India
57,52,Noshaq,7.492,24.58,2.024,Hindu Kush,,36.43222,71.82861,Tirich Mir,1960,33 (3),Afghanistan; Pakistan
58,53,Pumari Chhish,7.492,24.58,884,Hispar,Karakoram,36.21139,75.25028,Khunyang Chhish,1979,1 (2),Pakistan; [dp 1]
59,54,Passu Sar,7.476,24.528,647,Batura,Karakoram,36.48778,74.58778,Batura Sar,1994,1 (0),Pakistan; [dp 1]
60,55,Yukshin Gardan Sar,7.469,24.505,1.374,Hispar,Karakoram,36.25111,75.37472,Pumari Chhish,1984,4 (1),Pakistan; [dp 1]
61,56,Teram Kangri,7.462,24.482,1.703,Siachen,Karakoram,35.58,77.07833,Gasherbrum I,1975,2 (0),India; China; [dp 2]; [dp 3]
62,57,Jongsong Peak,7.462,24.482,1.298,Kangchenjunga,Himalaya,27.88167,88.13583,Kangchenjunga,1930,2 (3),India; China; Nepal
63,58,Malubiting,7.458,24.469,2.193,Rakaposhi-Haramosh,Karakoram,36.00333,74.87528,Rakaposhi,1971,2 (6),Pakistan; [dp 1]
64,59,Gangapurna,7.455,24.459,563,Annapurna,Himalaya,28.605,83.96361,Annapurna III,1965,8 (13),Nepal
65,60,Jengish Chokusu,7.439,24.406,4.148,Tian Shan,,42.03472,80.12972,Ismail Samani Peak,1956,,Kyrgyzstan; China
66,115,Sunanda Devi,7.434,24.39,229,Garhwal,Himalaya,30.36667,79.99444,Nanda Devi,1939,14 (12),India
67,61,K12,7.428,24.37,1.978,Saltoro,Karakoram,35.29583,77.02222,Saltoro Kangri,1974,4 (2),India; Pakistan; [dp 1]; [dp 3]
68,62,Yangra,7.422,24.35,2.352,Ganesh,Himalaya,28.39139,85.12722,Shishapangma,1955,1 (6),Nepal; China
69,63,Sia Kangri,7.422,24.35,642,Siachen,Karakoram,35.66333,76.76167,Gasherbrum I,1934,6 (0),Pakistan; India; China; [dp 2]; [dp 3]
70,64,Momhil Sar,7.414,24.324,907,Hispar,Karakoram,36.31778,75.03639,Trivor,1964,2 (6),Pakistan; [dp 1]
71,65,Kabru,7.412,24.318,720,Kangchenjunga,Himalaya,27.63389,88.11667,Kangchenjunga,1994,1 (2)[13],India; Nepal
72,66,Skil Brum,7.41,24.311,1.152,Baltoro,Karakoram,35.85083,76.42861,K2,1957,2 (1),Pakistan; [dp 1]
73,67,Haramosh Peak,7.409,24.308,2.277,Rakaposhi-Haramosh,Karakoram,35.84,74.8975,Malubiting,1958,4 (3),Pakistan; [dp 1]
